FP_ID,flag,classification,acres,n_cells,slope_mean,slope_p90,slope_max,frac_over_30
2941965,Y,III,100.10000000000001,8024,11.567445755004883,22.941877365112305,44.51493453979492,0.03165503489531406
2941926,N,III,16.0,943,0.8010213375091553,1.613298773765564,2.918809652328491,0.0
2941926,N,III,2.0,145,1.8339183330535889,2.4991254806518555,3.236612558364868,0.0
2941926,N,III,1.5,145,1.0156946182250977,1.726442575454712,2.689730167388916,0.0
2941926,N,III,17.0,962,1.9368104934692383,2.6785354614257812,3.6550192832946777,0.0
2941923,Y,III,30.0,2007,17.8496150970459,27.13922119140625,39.17166519165039,0.04833084205281515
2941982,N,III,23.0,1454,18.32478904724121,28.009323120117188,36.3804931640625,0.050206327372764786
2941982,N,III,1.2,96,14.909703254699707,25.810787200927734,29.32154655456543,0.0
2942003,Y,III,49.0,3791,9.383380889892578,21.401262283325195,56.68950271606445,0.043260353468741755
2941985,Y,III,115.0,7667,13.152196884155273,22.331588745117188,40.08141326904297,0.025172818573105517
2941983,N,III,48.0,3758,10.07126522064209,18.09234046936035,34.49319076538086,0.0031931878658861094
2941983,N,III,93.0,6507,11.185163497924805,18.035518646240234,31.922578811645508,0.0004610419548178884
2941953,N,III,10.0,581,15.5538911819458,21.674779891967773,29.3200740814209,0.0
2941953,N,III,2.0,217,13.017382621765137,22.106454849243164,31.807273864746094,0.018433179723502304
2942034,Y,III,64.0,3149,15.352560997009277,30.214731216430664,49.96657943725586,0.10193712289615751
2942034,Y,III,15.0,954,13.036738395690918,18.874610900878906,27.570335388183594,0.0
2942081,Y,III,25.0,1598,7.553248882293701,11.479832649230957,25.1265811920166,0.0
2942081,Y,III,25.0,888,7.881680488586426,13.067094802856445,28.247272491455078,0.0
2942081,Y,III,3.5,455,6.9473557472229,9.673542976379395,11.376145362854004,0.0
2942067,Y,III,31.0,2017,13.205330848693848,23.447832107543945,35.028751373291016,0.022806147744174516
2942067,Y,III,96.0,5974,12.041110038757324,18.8961181640625,34.58145523071289,0.005691329092735186
2942067,Y,III,20.0,1273,15.10557746887207,22.967918395996094,31.54705238342285,0.002356637863315004
2942005,Y,III,77.0,5318,9.967192649841309,16.64848518371582,31.569095611572266,0.000940203083866115
2942009,Y,III,43.5,3526,19.674039840698242,34.64871597290039,46.00871658325195,0.2509926262053318
2942046,Y,IVS,76.0,6078,33.481666564941406,42.50646209716797,50.85456085205078,0.7420204014478446
2942013,N,III,5.0,310,4.469821453094482,8.541123390197754,9.827230453491211,0.0
2942024,Y,III,51.0,3814,11.955503463745117,20.621671676635742,36.80320358276367,0.009438909281594127
2942084,N,III,62.1,4419,7.008555889129639,12.959446907043457,28.28745460510254,0.0
2942063,Y,III,105.0,7095,18.35334587097168,30.71347999572754,47.048648834228516,0.11670190274841438
2942075,Y,III,36.4,2613,16.085464477539062,24.422805786132812,38.91036605834961,0.019135093761959432
2942012,N,III,3.0,196,8.88500690460205,16.963783264160156,21.64727783203125,0.0
2942048,Y,III,99.0,8696,18.18488311767578,35.10393142700195,56.01479721069336,0.17260809567617294
2942072,Y,III,74.3,5139,13.708272933959961,24.106504440307617,33.91320037841797,0.007199844327690212
2942076,Y,III,114.5,7216,9.919764518737793,16.672609329223633,36.73574447631836,0.0020787139689578712
2942068,Y,III,2.0,161,28.524250030517578,37.99570846557617,44.03355407714844,0.4472049689440994
2942068,Y,III,15.0,1006,19.05219841003418,29.97995376586914,38.287841796875,0.10039761431411531
