FP_ID,flag,acres,slope_mean,slope_p90,slope_max,frac_over_30
2943541,Y,117.0,16.92359161376953,33.03697967529297,50.260475158691406,0.134730103302779
2943548,N,7.0,1.5141061544418335,3.3797309398651123,6.644830703735352,0.0
2943555,N,59.5,8.365323066711426,15.080904006958008,28.78078269958496,0.0
2943558,Y,146.0,22.63686752319336,41.20928955078125,64.77589416503906,0.25333333333333335
2943562,Y,49.6,36.899967193603516,44.61585235595703,56.49080276489258,0.8344980940279543
2943563,Y,74.3,11.630058288574219,16.948192596435547,25.726789474487305,0.0
2943564,Y,78.10000000000001,25.48940658569336,34.63816833496094,42.14495086669922,0.3509987770077456
2943569,N,9.5,7.88161039352417,11.706335067749023,15.661916732788086,0.0
2943570,N,12.0,7.261033535003662,11.345561027526855,15.633299827575684,0.0
2943571,Y,50.800000000000004,31.044567108154297,42.30972671508789,55.503013610839844,0.5872821767043718
2943573,N,50.0,1.8740142583847046,2.5559375286102295,38.76951217651367,0.007679180887372013
2943581,N,58.0,6.8488593101501465,14.561975479125977,24.58563804626465,0.0
2943590,Y,94.5,18.06140899658203,28.467416763305664,40.139747619628906,0.05778491171749599
2943598,Y,100.0,26.455806732177734,39.4195556640625,52.850433349609375,0.4262725779967159
2943599,N,52.0,3.9802663326263428,6.01743221282959,11.469114303588867,0.0
2943607,N,1.1,13.385461807250977,16.428207397460938,18.044496536254883,0.0
2943610,Y,37.0,12.003668785095215,18.34596824645996,32.386966705322266,0.002167316861725184
2943616,N,23.400000000000002,8.769325256347656,16.562814712524414,32.37113952636719,0.009333333333333334
2943617,N,6.0,14.83481216430664,27.932878494262695,34.683780670166016,0.05763688760806916
2943620,N,1.7,6.754840850830078,10.022136688232422,15.140615463256836,0.0
2943621,N,7.8,14.042951583862305,17.666934967041016,21.24360466003418,0.0
2943623,N,2.5,1.4056153297424316,1.9647624492645264,2.4578022956848145,0.0
2943624,Y,132.0,10.161789894104004,17.809144973754883,36.30482482910156,0.005343624758794715
2943635,Y,67.0,10.826991081237793,28.105571746826172,42.3012580871582,0.07921381774865992
2943637,N,8.0,8.829854011535645,18.737485885620117,21.417800903320312,0.0
2943640,N,128.0,5.112281799316406,10.390730857849121,23.33174705505371,0.0
2943644,N,10.0,3.6906357606252036,5.540125370025635,5.870500087738037,0.0
2943650,N,6.6000000000000005,15.691712379455566,21.826868057250977,29.8216495513916,0.0
2943651,N,5.0,3.4091081619262695,4.595869541168213,6.243277072906494,0.0
2943655,N,35.0,6.336006164550781,15.291499137878418,48.311729431152344,0.033789954337899546
2943658,N,2.8,6.98363184928894,9.165729522705078,20.931135177612305,0.0
2943667,Y,33.2,21.0411319732666,36.523345947265625,47.66069412231445,0.2528684907325684
2943669,N,12.0,11.459062576293945,17.9503116607666,27.46433448791504,0.0
2943675,N,27.6,7.262540340423584,11.68430233001709,17.966386795043945,0.0
2943676,N,72.10000000000001,10.373331069946289,17.754533767700195,28.36060905456543,0.0
2943686,N,10.0,2.874356508255005,4.2762322425842285,6.124976634979248,0.0
2943691,Y,47.800000000000004,12.175006866455078,23.643741607666016,33.98757553100586,0.01709873138444567
2943695,N,8.0,14.860231399536133,24.715694427490234,37.89850616455078,0.04783599088838269
2943697,Y,102.0,12.711380322774252,24.9156494140625,42.585487365722656,0.024454725710508923
2943711,Y,73.5,21.876441955566406,32.43983459472656,40.85031509399414,0.1924342105263158
2943717,Y,31.900000000000002,27.483720779418945,37.354400634765625,47.559165954589844,0.39877613462519124
2943723,N,5.0,15.366058349609375,24.343290328979492,29.374248504638672,0.0
2943727,N,3.0,20.996736526489258,34.3000602722168,41.0521354675293,0.2109375
2943728,N,12.0,13.619606018066406,29.88347625732422,33.305606842041016,0.09963547995139732
2943731,Y,92.5,17.021102905273438,25.056903839111328,39.05791473388672,0.020684977958630044
2943740,Y,60.7,9.128440856933594,16.169334411621094,29.50676155090332,0.0
2943745,N,22.3,6.139606952667236,22.88427734375,32.5459098815918,0.008140531276778063
2943748,Y,49.0,11.978387832641602,18.627944946289062,27.904151916503906,0.0
2943751,N,25.0,6.820174694061279,9.303033828735352,21.614986419677734,0.0
