x,y,height_m,height_then_m,growth_m,cai_m_yr,stand_x,stand_y,in_target,leave_tree,harvest
364506.5,6686475.5,26.239999771118164,20.350000381469727,5.8899993896484375,0.4908332824707031,364500,6686400,True,False,True
364596.5,6686475.5,29.1200008392334,27.110000610351562,2.010000228881836,0.16750001907348633,364500,6686400,True,True,False
364918.5,6686475.5,20.040000915527344,17.43000030517578,2.6100006103515625,0.21750005086263022,364900,6686400,False,False,False
364116.5,6686474.5,22.399999618530273,20.90999984741211,1.489999771118164,0.12416664759318034,364100,6686400,False,False,False
364555.5,6686474.5,29.219999313354492,25.969999313354492,3.25,0.2708333333333333,364500,6686400,True,True,False
364631.5,6686474.5,27.850000381469727,25.979999542236328,1.8700008392333984,0.15583340326944986,364600,6686400,True,False,True
364936.5,6686474.5,25.6299991607666,23.549999237060547,2.0799999237060547,0.17333332697550455,364900,6686400,False,False,False
364058.5,6686473.5,21.649999618530273,19.190000534057617,2.4599990844726562,0.2049999237060547,364000,6686400,False,False,False
364090.5,6686473.5,24.639999389648438,21.200000762939453,3.4399986267089844,0.2866665522257487,364000,6686400,False,False,False
364152.5,6686473.5,29.420000076293945,27.549999237060547,1.8700008392333984,0.15583340326944986,364100,6686400,False,False,False
364233.5,6686473.5,31.790000915527344,29.969999313354492,1.8200016021728516,0.15166680018107095,364200,6686400,False,False,False
364420.5,6686473.5,24.780000686645508,22.139999389648438,2.6400012969970703,0.2200001080830892,364400,6686400,False,False,False
364425.5,6686473.5,24.770000457763672,22.479999542236328,2.2900009155273438,0.19083340962727866,364400,6686400,False,False,False
364489.5,6686473.5,22.170000076293945,17.969999313354492,4.200000762939453,0.3500000635782878,364400,6686400,False,False,False
364577.5,6686473.5,28.25,26.469999313354492,1.7800006866455078,0.14833339055379233,364500,6686400,True,False,True
364652.5,6686473.5,29.770000457763672,28.170000076293945,1.6000003814697266,0.1333333651224772,364600,6686400,True,False,True
364680.5,6686473.5,28.219999313354492,26.34000015258789,1.8799991607666016,0.15666659673055014,364600,6686400,True,False,True
364694.5,6686473.5,26.329999923706055,25.309999465942383,1.0200004577636719,0.08500003814697266,364600,6686400,True,False,True
364961.5,6686473.5,23.299999237060547,18.559999465942383,4.739999771118164,0.39499998092651367,364900,6686400,False,False,False
364130.5,6686472.5,21.709999084472656,20.889999389648438,0.8199996948242188,0.06833330790201823,364100,6686400,False,False,False
364268.5,6686472.5,23.719999313354492,16.350000381469727,7.369998931884766,0.6141665776570638,364200,6686400,False,False,False
364397.5,6686472.5,7.71999979019165,0.0,7.71999979019165,0.6433333158493042,364300,6686400,False,False,False
364543.5,6686472.5,26.040000915527344,24.049999237060547,1.9900016784667969,0.1658334732055664,364500,6686400,True,False,True
364570.5,6686472.5,25.65999984741211,24.079999923706055,1.5799999237060547,0.1316666603088379,364500,6686400,True,False,True
364624.5,6686472.5,29.059999465942383,27.770000457763672,1.289999008178711,0.1074999173482259,364600,6686400,True,False,True
