stand_x,stand_y,n_stems,mean_h,max_h,mean_cai,dom_h,forest_frac,flat_frac,forest_ha,stems_per_ha,age_est,mai,cai,cai_pct,slowness,maturity_pct,priority,ready
364200,6686100,55,25.924909244884144,36.150001525878906,0.28845456007755166,25.924909244884144,0.9754,0.0007,0.9754,56.38712323149477,151.3537285564382,0.17128688861614016,0.28845456007755166,0.3780487804878049,0.6219512195121951,0.9024390243902439,0.7481707317073172,False
364700,6685900,53,23.684717034393888,31.75,0.2921698133127307,23.684717034393888,0.8103,0.0526,0.8103,65.40787362705171,101.94929902298054,0.2323185864088686,0.2921698133127307,0.3902439024390244,0.6097560975609756,0.7804878048780488,0.6865853658536586,False
364100,6686300,94,22.060744610238583,30.420000076293945,0.24645389183193236,22.060744610238583,0.9327,0.0101,0.9327,100.78267395732819,84.27689559595153,0.26176503600707296,0.24645389183193236,0.25609756097560976,0.7439024390243902,0.5487804878048781,0.6560975609756098,True
364400,6686000,77,19.028961045401438,31.239999771118164,0.05924243821855232,19.028961045401438,0.8454,0.0224,0.8454,91.08114502010882,62.78674810349001,0.30307288751499634,0.05924243821855232,0.024390243902439025,0.975609756097561,0.24390243902439024,0.6463414634146342,True
364100,6686000,76,22.874736873727095,32.099998474121094,0.2933333270382463,22.874736873727095,0.9742,0.0066,0.9742,78.01272839252721,92.27859224678407,0.24788779625671287,0.2933333270382463,0.4146341463414634,0.5853658536585367,0.6951219512195121,0.6347560975609756,False
364900,6685700,96,21.369270751873653,28.829999923706055,0.24947048558129203,21.369270751873653,0.907,0.0334,0.907,105.84343991179713,78.43067697188084,0.2724606184329509,0.24947048558129203,0.2682926829268293,0.7317073170731707,0.4878048780487805,0.6219512195121951,True
364500,6686000,56,23.466785788536072,35.81999969482422,0.35136905312538147,23.466785788536072,0.9553,0.0048,0.9553,58.62032869255731,99.13673419151809,0.23671130565186438,0.35136905312538147,0.5,0.5,0.7682926829268293,0.6207317073170733,False
364000,6685900,89,17.87000011058336,26.3700008392334,0.14426030469744394,17.87000011058336,0.8818,0.1062,0.8818,100.92991608074394,56.60459992349003,0.31569872651228803,0.14426030469744394,0.07317073170731707,0.926829268292683,0.13414634146341464,0.5701219512195124,True
364200,6686400,60,26.336333179473876,36.95000076293945,0.45394443935818146,26.336333179473876,0.9359,0.0345,0.9359,64.1094133988674,172.405003347271,0.1527585201597965,0.45394443935818146,0.7439024390243902,0.25609756097560976,0.9512195121951219,0.5689024390243902,False
364400,6686200,58,23.07499989969977,31.8799991607666,0.40169538732553867,23.07499989969977,0.9161,0.0083,0.9161,63.31186551686497,94.48386838831861,0.244221582935872,0.40169538732553867,0.5975609756097561,0.4024390243902439,0.7439024390243902,0.5560975609756098,False
